CONTINENT,SIZE,country,gppd_idnr,name,capacity_m,commission,T1__6_year,T2__3_year,latitude,longitude
South America,Large,BRA,BRA0029458,Simplício,305.7,2013,2007,2016,-21.9211,-42.7903
South America,Medium,BRA,BRA0029459,SÃ£o JosÃ©,51,2011,2005,2014,-28.18,-54.825
South America,Small,BRA,BRA0029514,Albano Machado,3,2011,2005,2014,-27.4967,-52.8036
South America,Small,BRA,BRA0029517,Rio Suspiro,1,2010,2004,2013,-15.0625,-53.9433
South America,Small,BRA,BRA0029518,CÃ³rrego Santa Cruz,1,2010,2004,2013,-12.6456,-58.3189
South America,Small,BRA,BRA0029560,Barra Escondida,2.25,2009,2003,2012,-26.9039,-53.0297
South America,Small,BRA,BRA0029589,Wasser Kraft,1.4,2009,2003,2012,-26.4464,-53.405
South America,Small,BRA,BRA0029590,Ãndio CondÃ¡,2.9,2015,2009,2018,-27.1382,-52.7004
South America,Medium,BRA,BRA0029597,Dardanelos,261,2011,2005,2014,-10.1633,-59.4642
South America,Large,BRA,BRA0029598,Governador Jayme Canet Júnior,363.138,2012,2008,2015,-24.0622,-50.7064
South America,Small,BRA,BRA0029644,JoÃ£o Franco,1,2015,2009,2018,-21.8344,-46.0919
South America,Medium,BRA,BRA0029646,Malagone,19,2010,2004,2013,-18.6806,-48.4908
South America,Medium,BRA,BRA0029648,Tamboril,29.328,2015,2009,2018,-16.5352,-51.4803
South America,Medium,BRA,BRA0029652,Santa Luzia Alto,28.5,2011,2005,2014,-26.6119,-52.5297
South America,Small,BRA,BRA0029666,Pedra Furada,6.5,2012,2006,2015,-8.5164,-35.4839
South America,Small,BRA,BRA0029696,MAX-01 (Nova Lacerda),2.5,2015,2009,2018,-14.4178,-59.5236
South America,Large,BRA,BRA0029707,Santo Antônio,"3,568.00",2012,2008,2015,-8.8011,-63.9497
South America,Small,BRA,BRA0029710,SÃ£o Valentim,2.448,2013,2007,2016,-27.3233,-49.0267
South America,Small,BRA,BRA0029711,Aguti,3.893,2011,2005,2014,-27.3156,-49.0858
South America,Small,BRA,BRA0029712,SÃ£o SebastiÃ£o,3.699,2012,2006,2015,-27.3197,-49.0367
South America,Small,BRA,BRA0029714,GalÃ³polis,1.5,2009,2003,2012,-29.2501,-51.1676
South America,Medium,BRA,BRA0029721,Pirapora,25.024,2014,2008,2017,-23.383,-46.983
South America,Small,BRA,BRA0029723,Cachoeira do Brumado,2.34,2010,2004,2013,-21.8528,-43.8886
South America,Medium,BRA,BRA0029725,Moinho,13.7,2011,2005,2014,-27.7539,-51.3122
South America,Small,BRA,BRA0029726,Caju,10,2011,2005,2014,-21.8958,-42.0791
South America,Medium,BRA,BRA0029727,SÃ£o SebastiÃ£o do Alto,13.2,2011,2005,2014,-21.935,-42.0885
South America,Small,BRA,BRA0029728,Santo AntÃ´nio,8,2012,2006,2015,-22.1358,-42.3483
South America,Large,BRA,BRA0029736,Jirau,"3,750.00",2013,2008,2016,-9.2664,-64.6478
South America,Small,BRA,BRA0029769,Coqueiral,3.164,2010,2004,2013,-27.5158,-49.0781
South America,Small,BRA,BRA0029778,Santa Ana,6.304,2010,2004,2013,-27.4983,-49.0353
South America,Small,BRA,BRA0029800,Ernesto Lavratti Neto,1,2015,2009,2018,-26.5531,-52.3272
South America,Small,BRA,BRA0029804,Buritirana,1.12,2008,2002,2011,-11.9272,-46.2972
South America,Small,BRA,BRA0029898,Lajeado do Posto,1,2009,2003,2012,-26.5439,-52.3694
South America,Small,BRA,BRA0029945,Rio Mato,1.2,2014,2008,2017,-26.7989,-51.9503
South America,Medium,BRA,BRA0030001,BraÃ§o,11.52,2011,2005,2014,-22.7833,-44.2333
South America,Small,BRA,BRA0030042,EsperanÃ§a,2.4,2012,2006,2015,-13.7786,-59.7889
South America,Small,BRA,BRA0030057,Rio dos Ãndios,8,2013,2007,2016,-27.2811,-52.7948
South America,Small,BRA,BRA0030064,TambaÃº,8.806,2013,2007,2016,-27.44,-53.5614
South America,Medium,BRA,BRA0030078,IndaiÃ¡ Grande,19.998,2012,2006,2015,-19.2836,-52.3983
South America,Medium,BRA,BRA0030079,Indaiazinho  (Antiga Indaiazinho Grande),12.5,2012,2006,2015,-19.2008,-52.3542
